first_form,second_form,third_form,translate
break,broke,broken,ломать
wake up,woke up,woken up,вставать
steal,stole,stolen,красть
build,built,built,строить
spill,spilled,spilt,проливать
sleep,slept,slept,спать
keep,kept,kept,хранить
come,came,come,приходить
become,became,become,становиться
swim,swam,swum,плавать
sing,sang,sung,петь
ring,rang,rung,звонить
hang,hung,hung,вешать
hit,hit,hit,ударять
shut,shut,shut,закрывать
put,put,put,класть
cost,cost,cost,стоить
lose,lost,lost,терять
eat,ate,eaten,есть
beat,beat,beaten,бить
find,found,found,искать
grind,ground,ground,молоть
bind,bound,bound,связывать
get,got,gotten,получать
forget,forgot,forgotten,забывать
give,gave,given,давать
drive,drove,driven,водить
go,went,gone,идти
draw,drew,drawn,рисовать
fly,flew,flown,летать
know,knew,known,знать
throw,threw,thrown,бросать
meet,met,met,встречать
leave,left,left,покидать
make,made,made,делать
pay,paid,paid,платить
say,said,said,говорить
read,read,read,читать
ride,rode,ridden,ездить
hide,hid,hidden,прятать
begin,began,begun,начинать
run,ran,run,бежать
stand,stood,stood,вставать
understand,understood,understood,понимать
sit,sat,sat,сидеть
spit,spat,spat,плевать
take,took,taken,брать
shake,shook,shaken,трясти
sell,sold,sold,продавать
tell,told,told,говорить
bring,brought,brought,приносить
buy,bought,bought,покупать
fight,fought,fought,драться
think,thought,thought,думать
bite,bit,bitten,кусать
write,wrote,written,писать
drink,drank,drunk,пить
stink,stank,stunk,вонять
wear,wore,worn,носить
tear,tore,torn,рвать
bear,bore,born,переносить
be,was/were,been,быть
see,saw,seen,видеть
fall,fell,fallen,падать
have,had,had,иметь
hear,heard,heard,слышать
hold,held,held,держать
cut,cut,cut,резать
hurt,hurt,hurt,ранить
win,won,won,побеждать
lose,lost,lost,терять
choose,chose,chosen,выбирать
feel,felt,felt,чувствовать
do,did,done,делать
